,img_name,label_name,label
0,image_0001.jpg,accordion,5
1,image_0002.jpg,accordion,5
2,image_0003.jpg,accordion,5
3,image_0004.jpg,accordion,5
4,image_0005.jpg,accordion,5
5,image_0006.jpg,accordion,5
6,image_0007.jpg,accordion,5
7,image_0008.jpg,accordion,5
8,image_0009.jpg,accordion,5
9,image_0010.jpg,accordion,5
10,image_0011.jpg,accordion,5
11,image_0012.jpg,accordion,5
12,image_0013.jpg,accordion,5
13,image_0014.jpg,accordion,5
14,image_0015.jpg,accordion,5
15,image_0016.jpg,accordion,5
16,image_0017.jpg,accordion,5
17,image_0018.jpg,accordion,5
18,image_0019.jpg,accordion,5
19,image_0020.jpg,accordion,5
20,image_0021.jpg,accordion,5
21,image_0022.jpg,accordion,5
22,image_0023.jpg,accordion,5
23,image_0024.jpg,accordion,5
24,image_0025.jpg,accordion,5
25,image_0026.jpg,accordion,5
26,image_0027.jpg,accordion,5
27,image_0028.jpg,accordion,5
28,image_0029.jpg,accordion,5
29,image_0030.jpg,accordion,5
30,image_0031.jpg,accordion,5
31,image_0032.jpg,accordion,5
32,image_0033.jpg,accordion,5
33,image_0034.jpg,accordion,5
34,image_0035.jpg,accordion,5
35,image_0036.jpg,accordion,5
36,image_0037.jpg,accordion,5
37,image_0038.jpg,accordion,5
38,image_0039.jpg,accordion,5
39,image_0040.jpg,accordion,5
40,image_0041.jpg,accordion,5
41,image_0042.jpg,accordion,5
42,image_0043.jpg,accordion,5
43,image_0044.jpg,accordion,5
44,image_0045.jpg,accordion,5
45,image_0046.jpg,accordion,5
46,image_0047.jpg,accordion,5
47,image_0048.jpg,accordion,5
48,image_0049.jpg,accordion,5
49,image_0050.jpg,accordion,5
50,image_0051.jpg,accordion,5
51,image_0052.jpg,accordion,5
52,image_0053.jpg,accordion,5
53,image_0054.jpg,accordion,5
54,image_0055.jpg,accordion,5
55,image_0001.jpg,airplanes,6
56,image_0002.jpg,airplanes,6
57,image_0003.jpg,airplanes,6
58,image_0004.jpg,airplanes,6
59,image_0005.jpg,airplanes,6
60,image_0006.jpg,airplanes,6
61,image_0007.jpg,airplanes,6
62,image_0008.jpg,airplanes,6
63,image_0009.jpg,airplanes,6
64,image_0010.jpg,airplanes,6
65,image_0011.jpg,airplanes,6
66,image_0012.jpg,airplanes,6
67,image_0013.jpg,airplanes,6
68,image_0014.jpg,airplanes,6
